ZIP,CITY,SUBDIVISION
05497,"Ávila",ES-AV
05600,"Barco de Ávila, el",ES-AV
05110,"Barraco, el",ES-AV
05278,"Barraco, el",ES-AV
05229,"Barromán",ES-AV
05610,"Becedas",ES-AV
05694,"Becedas",ES-AV
05162,"Berlanas, las",ES-AV
05211,"Bernuy-zapardiel",ES-AV
05146,"Blascomillán",ES-AV
05380,"Blascomillán",ES-AV
05299,"Blasconuño de Matacabras",ES-AV
02590,"Blascosancho",ES-AB
05290,"Blascosancho",ES-AV
05165,"Bohodón, el",ES-AV
05630,"Bohoyo",ES-AV
05690,"Bohoyo",ES-AV
05514,"Bonilla de la Sierra",ES-AV
05570,"Bonilla de la Sierra",ES-AV
05140,"Bularros",ES-AV
05113,"Burgohondo",ES-AV
05217,"Cabezas de Alambre",ES-AV
05148,"Cabezas del Villar",ES-AV
05480,"Candeleda",ES-AV
05489,"Candeleda",ES-AV
05320,"Cardeñosa",ES-AV
05620,"Carrera, la",ES-AV
05571,"Casas del Puerto de Villatoro",ES-AV
05450,"Casavieja",ES-AV
05490,"Casavieja",ES-AV
05428,"Casillas",ES-AV
05260,"Cebreros",ES-AV
05269,"Cebreros",ES-AV
05132,"Cepeda la Mora",ES-AV
05149,"Cillán",ES-AV
05192,"Colilla, la",ES-AV
05309,"Collado de Contreras",ES-AV
05300,"Crespos",ES-AV
05414,"Cuevas del Valle",ES-AV
05141,"Chamartin (Avila)",ES-AV
05215,"Donvidas",ES-AV
05370,"Flores de Ávila",ES-AV
05310,"Fontiveros",ES-AV
05427,"Fresnedilla",ES-AV
05147,"Gallegos de Sobrinos",ES-AV
05134,"Garganta del Villar",ES-AV
05460,"Gavilanes",ES-AV
05619,"Gilbuena",ES-AV
05693,"Gil García",ES-AV
05163,"Gotarrendura",ES-AV
05417,"Guisando",ES-AV
05164,"Hernansancho",ES-AV
05196,"Herradón de Pinares",ES-AV
05268,"Herradón de Pinares",ES-AV
05294,"Herradón de Pinares",ES-AV
05131,"Hija de Dios, la",ES-AV
05695,"Horcajada, la",ES-AV
05696,"Horcajada, la",ES-AV
05210,"Horcajo de las Torres",ES-AV
05415,"Hornillo, el",ES-AV
05123,"Hoyocasero",ES-AV
05250,"Hoyo de Pinares, el",ES-AV
05516,"Hoyorredondo",ES-AV
05634,"Hoyos del Collado",ES-AV
05213,"Langa",ES-AV
05692,"Losar del Barco, el",ES-AV
05220,"Madrigal de las Altas Torres",ES-AV
05291,"Maello",ES-AV
05298,"Mamblas",ES-AV
05145,"Manjabálago",ES-AV
05151,"Martínez",ES-AV
05152,"Martínez",ES-AV
05461,"Mijares",ES-AV
05161,"Mingorría",ES-AV
05280,"Mingorría",ES-AV
05154,"Mirón, el",ES-AV
05191,"Mironcillo",ES-AV
05410,"Mombeltrán",ES-AV
05491,"Mombeltrán",ES-AV
05540,"Muñana",ES-AV
05530,"Muñogalindo",ES-AV
05216,"Nava de Arévalo",ES-AV
05697,"Nava del Barco",ES-AV
05429,"Navahondilla",ES-AV
05120,"Navalmoral",ES-AV
05240,"Navalperal de Pinares",ES-AV
05631,"Navalperal de Tormes",ES-AV
05632,"Navalperal de Tormes",ES-AV
05122,"Navaquesera",ES-AV
05635,"Navarredonda de Gredos",ES-AV
05115,"Navarrevisca",ES-AV
05230,"Navas del Marqués, las",ES-AV
05239,"Navas del Marqués, las",ES-AV
05193,"Ojos-albos",ES-AV
05520,"Padiernos",ES-AV
05292,"Pajares de Adaja",ES-AV
05150,"Pascualcobo",ES-AV
05470,"Pedro Bernardo",ES-AV
05500,"Piedrahíta",ES-AV
05515,"Piedrahíta",ES-AV
05440,"Piedralaves",ES-AV
05492,"Poyales del Hoyo",ES-AV
05621,"Puerto Castilla",ES-AV
05190,"Riofríoillajoyosa/v",ES-AV
05267,"San Bartolomé de Pinares",ES-AV
05289,"San Esteban de los Patos",ES-AV
05412,"San Esteban del Valle",ES-AV
05111,"San Juan de la Nava",ES-AV
05133,"San Martín de la Vega del Alberche",ES-AV
05350,"San Pedro del Arroyo",ES-AV
05413,"Santa Cruz del Valle",ES-AV
05510,"Santa María del Berrocal",ES-AV
05511,"Santa María del Berrocal",ES-AV
05581,"Santa María de los Caballeros",ES-AV
05297,"Santa María del Tiétar",ES-AV
